{,2,0,80	,3000, 3, 0}//30
{,-14,0,140	,3000, 3, 0}
{,-10,0,130	,2200, 3, 0}
{,-6,0,130	,1200, 3, 0}
{,-2,0,130	,1200, 3, 0}
{,14,0,140  ,1200, 3,0}
{,10,0,130  ,1200, 3, 0}
{,6,0,130	  ,1200, 3, 0}
{,2,0,130   ,1200, 3, 0}
{, 2,5,130	,1500, 3,0}
{, 6,5,130	,1400, 3,0}
{,-2,-5,130	,1200, 3,0}
{,-6,-5,130	,1200, 3,0}
{, 2,0,150	,4500, 3, 0}
{, -2,0,150	,4500, 3, 0}
{, 2,0,150	,4500, 3, 0}//45
{,-14,0,240	,4500, 3, 0}
{,-10,0,230	,4500, 3, 0}
{,-6,0,220	,1200, 3, 0}
{,-2,0,220	,1200, 3, 0}
{,5,0,240  ,1200, 3,0}
{,-5,0,230  ,1200, 3, 0}
{,6,0,220	  ,1200, 3, 0}
{,2,0,220   ,1200, 3, 0}
{, 2,5,230	,1500, 3,0}
{, 6,5,230	,1400, 3,0}
{,-2,-5,230	,1200, 3,0}
{,-6,-5,230	,1200, 3,0}
{, 2,0,250	,4500, 3, 0}
{, -2,0,250	,5500, 3, 0}
