{,-14,0,340	,5500, 3, 0}
{,-10,0,330	,5500, 3, 0}
{,-6,0,320	,1200, 3, 0}
{,-2,0,320	,1200, 3, 0}
{,5,0,340  ,1200, 3,0}
{,-5,0,330  ,1200, 3, 0}
{,6,0,320	  ,1200, 3, 0}
{,2,0,320   ,1200, 3, 0}
{, 2,5,330	,1500, 3,0}
{, 6,5,330	,1400, 3,0}
{,-2,-5,330	,1200, 3,0}
{,-6,-5,330	,1200, 3,0}
{, 2,0,350	,4500, 3, 0}
{, -2,0,350	,6500, 3, 0}
{, 2,0,400	,6500, 3, 0}//75
{, 6,0,400	,6500, 3, 0}
{, 9,0,400	,6500, 3, 0}
{,-2,0,400	,6200, 3, 0}
{,-6,0,400	,6200, 3, 0}
{,-9,0,400  ,6200, 3,0}
{,2,5,400  ,6200, 3, 0}
{,6,5,400	,6200, 3, 0}
{,9,5,400   ,6200, 3, 0}
{, -2,-5,400	,6500, 3,0}
{, -6,-5,400	,6400, 3,0}
{,-9,-5,400	,6200, 3,0}
{,-5,-10,400	,6200, 3,0}
{, 10,0,390	,6500, 3, 0}
{, -10,0,390	,6500, 3, 0}
{, 5,10,390	,6500, 3, 0}//90
