{,4,2,800	,15000, 3, 0}
{,4,2,800	,15000, 3, 0}
{,-4,-14,800	,15500, 3, 3}
{,-4,-18,800	,15500, 3, 3}
{,-4,-22,800	,15500, 3, 3}
{,-4,-26,800	,15500, 3, 3}
{,-4,4,850	,16500, 3, 5}
{,-4,8,840	,16500, 3, 5}
{,-4,12,830	,16500, 3, 5}
{,-4,15,820	,16500, 3, 5}
{,4,-4,850	,16500, 0, 6}
{,4,-8,840	,16500, 0, 6}
{,4,-12,830	,16500, 0, 6}
{,4,-15,820 ,16500, 0, 6}
{,-8,15,750	,17000, 3, 5}//45
{,-8,12,750	,17000, 3, 5}
{,-8,8,750	,17000, 3, 5}
{,-8,4,750	,17000, 3, 5}
{,8,-15,750	,17000, 3, 6}
{,8,-12,750	,17000, 3, 6}
{,8,-8,750	,17000, 3, 6}
{,8,-4,750  ,17000, 3, 6}
{, 0,-8,750	,18000, 3, 0}
{, 0,-4,750	,18000, 3, 0}
{, 0, 0,750	,18000, 3, 0}
{, 0, 4,750	,18000, 3, 0}
{, 0, 8,750	,18000, 3, 0}
{,-8, 0,750	,19000, 3, 0}
{,-4, 0,750	,18000, 3, 0}
{, 0, 0,750	,18000, 3, 0}//60
