//  x, y,  z  ,WaitTimer, bulletNum, enemyMove
//startGate
//左右
{, 13, 2,100  ,1000, 2, 0}
{,-13, 2,100  ,1000, 2, 0}
{, 13,-2,100  ,1000, 2, 0}
{,-13,-2,100  ,1000, 2, 0}
//斜め
{, 8, 6,100  ,1000, 2, 0}
{,-8, 6,100  ,1000, 2, 0}
{, 8,-6,100  ,1000, 2, 0}
{,-8,-6,100  ,1000, 2, 0}
//上下
{, 2, 10,100  ,1000, 2, 0}
{,-2, 10,100  ,1000, 2, 0}
{, 2,-10,100  ,1000, 2, 0}
{,-2,-10,100  ,1000, 2, 0}
//11
//WAVE1
//砲台型
//12
{, 5,-8,200	,1500, 0}
{, 5,-4,200	,1500, 0}
{,-5,-8,200	,1500, 0}
{,-5,-4,200	,1500, 0}
//15
//移動型
//16
{,-14,0,270	,2500, 2, 2}
{,-14,0,260	,2500, 2, 2}
{,-14,0,250	,2500, 2, 2}
{,-14,0,240	,2500, 2, 2}
{,14,0,270	,3500, 2, 2}
{,14,0,260	,3500, 2, 2}
{,14,0,250	,3500, 2, 2}
{,14,0,240  ,3500, 2, 2}
//23
//背面から移動型
//24
{, 4,-8,160	,4500, 2, 1}
{, 4,-8,150	,4500, 2, 1}
{, 4,-8,140	,4500, 2, 1}
{, 4,-8,130	,4500, 2, 1}
{, 4,-8,120	,4500, 2, 1}
{,-7,-8,160	,4500, 2, 1}
{,-7,-8,150	,4500, 2, 1}
{,-7,-8,140	,4500, 2, 1}
{,-7,-8,130	,4500, 2, 1}
{,-7,-8,120	,4500, 2, 1}
//33
//花砲台型
//34
{, 0,0,340  ,5500, 2, 0}
{, 5,0,340  ,5500, 2, 0}
{,-5,0,340  ,5500, 2, 0}
{,0, 0,340  ,6000, 2, 0}
{,0, 5,340  ,6000, 2, 0}
{,0,-5,340  ,6000, 2, 0}
//39
//40
{, 5, 5,350 ,6500, 1, 0}
{,-5, 5,350 ,6500, 1, 0}
{, 5,-5,350 ,6500, 1, 0}
{,-5,-5,350 ,6500, 1, 0}
{, 3, 3,360 ,7000, 2, 0}
{,-3, 3,360 ,7000, 2, 0}
{, 3,-3,360 ,7000, 2, 0}
{,-3,-3,360 ,7000, 2, 0}
//47
//WAVE2
//48
{, 5,-8,430	,11000, 2, 2}
{, 5,-4,430	,11000, 2, 2}
{,-5,-8,430	,11000, 2, 2}
{,-5,-4,430	,11000, 2, 2}
//51
//52
//WAVE3(21000)
